slug,category,filename,aspect,prompt
avena-cremosa-de-camote-y-manzana,desayuno,receta-avena-cremosa-de-camote-y-manzana.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servicio matutino en plato infantil de cerámica crema, luz más clara y fresca. PLATILLO: Avena Cremosa de Camote y Manzana, con camote, manzana, avena en hojuelas, servido de forma apetitosa y natural"
avena-cremosa-de-mango-y-platano,desayuno,receta-avena-cremosa-de-mango-y-platano.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servicio matutino en plato infantil de cerámica crema, luz más clara y fresca. PLATILLO: Avena Cremosa de Mango y Plátano, con avena en hojuelas, mango, plátano, servido de forma apetitosa y natural"
avena-cremosa-de-zanahoria-y-huevo,desayuno,receta-avena-cremosa-de-zanahoria-y-huevo.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servicio matutino en plato infantil de cerámica crema, luz más clara y fresca. PLATILLO: Avena Cremosa de Zanahoria y Huevo, con zanahoria, huevo, avena en hojuelas, servido de forma apetitosa y natural"
barritas-crocantes-de-mani-y-chocolate,colacion,receta-barritas-crocantes-de-mani-y-chocolate.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Barritas Crocantes de Maní y Chocolate, con harina de almendras, crema de avellanas sin azúcar, mantequilla de maní, servido de forma apetitosa y natural"
barritas-de-avena-y-frutos-secos,colacion,receta-barritas-de-avena-y-frutos-secos.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Barritas de Avena y Frutos Secos, con hojuelas de avena, frutos secos molidos, dátiles sin semilla triturados, servido de forma apetitosa y natural"
barritas-de-fruta-y-avena,colacion,receta-barritas-de-fruta-y-avena.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Barritas de Fruta y Avena, con hojuelas de avena, frutos secos, dátiles sin semilla, servido de forma apetitosa y natural"
barritas-de-manzana-y-amaranto,colacion,receta-barritas-de-manzana-y-amaranto.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Barritas de Manzana y Amaranto, con manzana, amaranto expandido, miel, servido de forma apetitosa y natural"
barritas-energeticas,colacion,receta-barritas-energeticas.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Barritas Energéticas, con avena en hojuelas, miel, azúcar morena, servido de forma apetitosa y natural"
bastoncitos-de-calabacin-al-horno,colacion,receta-bastoncitos-de-calabacin-al-horno.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bastoncitos de calabacín al horno, con calabacín, harina de avena, servido de forma apetitosa y natural"
bastones-suaves-de-res-y-camote,colacion,receta-bastones-suaves-de-res-y-camote.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bastones Suaves de Res y Camote, con carne molida de res magra, camote, hojuelas de avena molidas, servido de forma apetitosa y natural"
batido-de-aguacate,bebida,receta-batido-de-aguacate.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servido en vaso infantil con popote o termo infantil, fondo despejado. PLATILLO: Batido de Aguacate, con banana, aguacate, leche, servido de forma apetitosa y natural"
batido-de-manzana-y-platano,bebida,receta-batido-de-manzana-y-platano.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servido en vaso infantil con popote o termo infantil, fondo despejado. PLATILLO: Batido de Manzana y Plátano, con manzana, plátano, leche materna, fórmula o agua, servido de forma apetitosa y natural"
batido-de-papaya,bebida,receta-batido-de-papaya.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servido en vaso infantil con popote o termo infantil, fondo despejado. PLATILLO: Batido de Papaya, con papaya, banana, yogur natural, servido de forma apetitosa y natural"
batido-de-vainilla,bebida,receta-batido-de-vainilla.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Servido en vaso infantil con popote o termo infantil, fondo despejado. PLATILLO: Batido de Vainilla, con yogur natural, naranja, banana, servido de forma apetitosa y natural"
berenjenas-empanizadas,almuerzo,receta-berenjenas-empanizadas.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Plato principal servido en plato infantil de cerámica crema, porción pequeña. PLATILLO: Berenjenas Empanizadas, con berenjena, harina de avena, huevos, servido de forma apetitosa y natural"
bizcocho-de-calabaza-blw,colacion,receta-bizcocho-de-calabaza-blw.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bizcocho de calabaza BLW sin lactosa, con puré de calabaza, harina de avena, bebida de avena, servido de forma apetitosa y natural"
bizcocho-relleno,postre,receta-bizcocho-relleno.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción individual pequeña en recipiente infantil, presentación sencilla sin decoración excesiva. PLATILLO: Bizcocho Relleno, con huevo, leche, avena molida, servido de forma apetitosa y natural"
bocaditos-de-chocolate-y-avellana,colacion,receta-bocaditos-de-chocolate-y-avellana.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bocaditos de Chocolate y Avellana, con maní, almendras, avellanas, servido de forma apetitosa y natural"
bolitas-de-brocoli-pollo-y-papa,almuerzo,receta-bolitas-de-brocoli-pollo-y-papa.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Plato principal servido en plato infantil de cerámica crema, porción pequeña. PLATILLO: Bolitas de Brócoli, Pollo y Papa, con brócoli, pechuga de pollo, papa, servido de forma apetitosa y natural"
bolitas-de-espinacas-y-queso,colacion,receta-bolitas-de-espinacas-y-queso.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bolitas de Espinacas y Queso, con espinaca fresca, queso ricotta o mozzarella rallada, huevo, servido de forma apetitosa y natural"
bolitas-de-nueces-y-ciruelas,colacion,receta-bolitas-de-nueces-y-ciruelas.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bolitas de Nueces y Ciruelas, con nueces, ciruelas pasas sin hueso, coco rallado deshidratado, servido de forma apetitosa y natural"
bolitas-de-pollo,almuerzo,receta-bolitas-de-pollo.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Plato principal servido en plato infantil de cerámica crema, porción pequeña. PLATILLO: Bolitas de Pollo, con pechuga de pollo molida, avena molida, huevo, servido de forma apetitosa y natural"
bolitas-energeticas-en-palito,postre,receta-bolitas-energeticas-en-palito.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción individual pequeña en recipiente infantil, presentación sencilla sin decoración excesiva. PLATILLO: Bolitas Energéticas en Palito, con avena en hojuelas, mantequilla de maní, miel, servido de forma apetitosa y natural"
bombones-de-chocolate-y-frutos-secos,colacion,receta-bombones-de-chocolate-y-frutos-secos.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bombones de Chocolate y Frutos Secos, con dátiles sin semilla, almendras molidas, cacao en polvo sin azúcar, servido de forma apetitosa y natural"
bombones-de-fruta,colacion,receta-bombones-de-fruta.webp,1:1,"Fotografía gastronómica apetitosa y realista de comida para niños, servida sobre mesa de madera clara, luz natural suave de ventana lateral, ángulo cenital a 45 grados, fondo cálido neutro ligeramente desenfocado, props mínimos: servilleta de tela en tono verde manzana o menta y cubierto infantil, porción de tamaño infantil, colores naturales vivos del alimento, aspecto casero y fresco, sin manos, sin personas, sin texto, sin letras, sin marcas, sin empaques comerciales. Porción para llevar sobre servilleta de tela, presentación sencilla. PLATILLO: Bombones de Fruta, con fruta variada, frutos secos, mantequilla de maní natural, servido de forma apetitosa y natural"
